,PLAYER,POS,TEAM,GP,MPG,nFGp,nFTp,nX3PM,nPTS,nTREB,nAST,nSTL,nBLK,nTO,score,USG_
1,Stephen Curry,PG/SG,GSW,72,32,0.396601121,1.724787353,3.504839634,2.373727364,-0.230251135,1.623474355,1.904505604,-0.900853636,-1.545393817,9.585940492,29
2,James Harden,PG/SG,HOU,80,35.4,-0.329442121,0.87752339,2.696740904,3.102740956,0.172990783,2.896787574,1.904505604,-0.062850254,-3.898785418,7.579513011,31.2
3,Chris Paul,PG,HOU,63,31.5,-0.147931311,1.603749644,1.19598612,0.71866948,0.011694016,2.387462286,2.196383858,-0.900853636,-0.630185973,7.472065415,20.4
4,Damian Lillard,PG,POR,74,36,-0.510952932,1.603749644,2.00408485,2.511648854,-0.35122371,1.725339412,0.153236083,-0.691352791,-1.283905862,6.714152982,20.6
5,Kawhi Leonard,SG/SF,TOR,70,34,0.215090311,1.119598808,0.734215417,2.216102803,0.455260125,0.299228607,2.196383858,0.565652283,-0.499441995,6.066087498,24.2
6,Kyrie Irving,PG/SG,BOS,60,32,0.215090311,1.603749644,1.657756823,2.117587453,-0.754465628,1.216014125,0.153236083,-0.691352791,-0.760929951,5.987414177,21
7,Paul George,SG/SF,OKC,77,35.5,-0.329442121,0.998561099,1.542314147,1.802338332,0.455260125,0.401093664,2.488262111,-0.481851945,-1.545393817,5.687175537,33.2
8,Jimmy Butler,SG/SF,MIN,67,36.5,0.0335795,0.756485681,-0.073883312,1.664416842,0.052018207,0.859486423,2.488262111,-0.272351099,-0.368698017,5.326069728,NA
9,Kemba Walker,PG,CHA,78,33,-0.692463743,0.998561099,1.657756823,1.467386142,-0.835114011,1.165081596,0.445114337,-0.691352791,-0.499441995,5.234458001,23.6
10,Kyle Lowry,PG,TOR,75,32,-0.692463743,0.87752339,2.00408485,0.58074799,-0.068954368,1.725339412,0.73699259,-0.691352791,-0.760929951,5.163758282,21.6
11,John Wall,PG,WAS,77,36,-0.510952932,0.272334845,-0.073883312,1.565901492,-0.512520477,3.457045391,2.780140364,0.565652283,-2.852833595,5.148705185,31.3
12,Mike Conley,PG,MEM,65,32,-0.692463743,0.87752339,1.080543445,0.81718483,-0.875438203,1.521609297,1.028870844,-0.691352791,-0.23795404,5.087777766,21.3
13,Gary Harris,SG/SF,DEN,70,33.5,0.215090311,0.514410263,1.19598612,0.69896641,-0.996410778,-0.108231624,1.904505604,-0.900853636,0.154277894,4.359914667,19.5
14,Khris Middleton,SG/SF,MIL,78,35,-0.329442121,1.361674226,0.849658093,1.073324741,-0.149602751,0.502958722,1.320749097,-0.691352791,-0.760929951,4.347434928,24.2
15,Russell Westbrook,PG,OKC,80,35.2,-0.692463743,0.030259427,0.157002039,2.531351924,1.866606837,3.762640563,1.904505604,-0.691352791,-4.160273373,4.225486185,NA
16,Donovan Mitchell,PG/SG,UTA,77,35,-0.510952932,0.393372554,1.426871472,1.664416842,-0.552844669,0.502958722,1.612627351,-0.481851945,-1.41464984,4.185597101,28.1
17,Kevin Durant,SF/PF,GSW,67,34,0.759622743,1.361674226,1.426871472,2.117587453,0.535908509,1.114149067,-0.430520424,2.032158203,-1.41464984,4.175111954,28.8
18,Victor Oladipo,PG/SG,IND,72,33,-0.147931311,0.272334845,0.734215417,1.309761581,-0.189926943,0.502958722,2.488262111,0.146650592,-1.153161884,4.154370793,29.9
19,Bradley Beal,SG,WAS,77,35,0.0335795,0.393372554,1.657756823,1.743229122,-0.552844669,0.401093664,0.153236083,-0.481851945,-0.630185973,3.718502274,23.3
20,Devin Booker,PG/SG,PHO,75,34,-0.692463743,1.240636517,1.773199499,2.097884383,-0.35122371,0.808553894,-0.13864217,-0.691352791,-2.068369729,3.713262394,NA
21,Klay Thompson,SG/SF,GSW,76,34,0.215090311,0.756485681,2.465855553,1.309761581,-0.673817244,-0.413826796,-0.722398677,-0.272351099,0.154277894,3.550155236,29.6
22,C.J. McCollum,PG/SG,POR,80,35.5,-0.329442121,0.87752339,1.19598612,1.447683072,-0.673817244,0.350161135,0.153236083,-0.481851945,-0.499441995,3.525147805,NA
23,Otto Porter Jr,SF/PF,WAS,76,32,0.578111932,0.514410263,0.734215417,0.265498869,0.293963358,-0.515691854,1.320749097,-0.272351099,1.200229716,3.519411509,NA
24,Nikola Jokic,PF/C,DEN,75,33,0.759622743,0.998561099,0.157002039,1.191543161,2.350497138,1.674406884,0.73699259,0.565652283,-1.283905862,3.474599911,23.7
25,Buddy Hield,SG,SAC,80,27,-0.510952932,1.119598808,1.311428796,0.166983519,-0.472196286,-0.464759325,0.73699259,-0.900853636,0.285021872,3.155266259,20.8
26,Giannis Antetokounmpo,SF/PF,MIL,78,36,0.941133553,0.030259427,-0.766539367,2.610164204,1.70531007,1.317879182,1.612627351,1.822657357,-1.676137795,3.128253002,29.4
27,Ricky Rubio,PG,UTA,75,30,-1.055485364,1.240636517,-0.073883312,-0.128562532,-0.35122371,1.368811711,1.612627351,-1.110354482,-0.891673928,3.127955805,23.5
28,Anthony Davis,PF/C,NOR,72,36,0.941133553,0.635447972,-0.766539367,2.886007185,2.39082133,-0.210096681,1.320749097,3.708164968,-0.760929951,3.104638256,30.6
29,Eric Bledsoe,PG/SG,MIL,70,31,0.0335795,0.151297136,0.503330066,0.8368879,-0.472196286,1.216014125,1.904505604,-0.272351099,-1.545393817,3.066641014,19.4
30,Jamal Murray,PG/SG,DEN,80,32,-0.329442121,1.482711935,0.965100769,0.69896641,-0.633493053,0.248296078,0.153236083,-0.481851945,-0.499441995,3.048869279,18.8
31,LeBron James,SF/PF,LAL,75,36,0.941133553,-0.817004536,0.38788739,2.531351924,1.302068152,3.151450218,1.028870844,0.146650592,-3.245065529,3.037490312,26.9
32,Robert Covington,SF/PF,PHI,73,28,-1.236996175,0.756485681,1.19598612,-0.502920863,-0.10927856,-0.719421969,1.904505604,0.356151438,0.285021872,2.919656445,15.5
33,Tobias Harris,SF/PF,LAC,78,32,-0.147931311,0.756485681,0.849658093,0.73837255,-0.028630176,-0.108231624,0.445114337,-0.272351099,0.154277894,2.835676931,24.5
34,Evan Fournier,SG/SF,ORL,65,32,-0.329442121,0.87752339,0.965100769,0.65956027,-0.996410778,-0.108231624,0.153236083,-1.110354482,0.154277894,2.701466782,21.6
35,Jrue Holiday,PG/SG,NOR,75,34,0.0335795,-0.090778282,0.272444715,0.65956027,-0.472196286,1.776271941,1.320749097,0.146650592,-1.283905862,2.654341879,20.5
36,Tim Hardaway Jr,SG/SF,NYK,66,32,-0.692463743,0.514410263,1.311428796,0.501935709,-0.79478982,-0.26102921,0.153236083,-0.900853636,0.415765849,2.635747491,NA
37,DeMar DeRozan,SG/SF,SAS,77,34,-0.329442121,0.756485681,-0.304768664,1.782635262,-0.391547902,0.859486423,0.153236083,-0.900853636,-0.630185973,2.616888813,23.7
38,Lou Williams,PG/SG,LAC,78,28,-0.692463743,1.240636517,0.849658093,0.8368879,-1.238355929,0.452026193,-0.13864217,-0.900853636,-0.630185973,2.61038056,30.3
39,Gordon Hayward,SG/SF,BOS,70,32,-0.147931311,0.756485681,0.618772742,1.290058511,-0.149602751,0.197363549,0.153236083,-0.691352791,-0.499441995,2.516474571,17.3
40,Isaiah Thomas,PG,DEN,73,25,-0.692463743,1.361674226,0.849658093,0.73837255,-1.359328504,0.604823779,-0.722398677,-1.110354482,-0.368698017,2.463431954,NA
41,Kevin Love,PF/C,CLE,70,32,-0.510952932,0.998561099,1.657756823,0.79748176,1.987579412,-0.362894268,-0.430520424,-0.272351099,-0.23795404,2.422430951,31
42,Kris Dunn,PG/SG,CHI,72,32,-0.692463743,-0.574929118,-0.535654015,0.206389659,-0.391547902,1.674406884,2.780140364,0.146650592,-1.153161884,2.39719189,17.4
43,Jeff Teague,PG,MIN,75,32,-0.510952932,0.87752339,-0.304768664,-0.049750252,-0.915762395,1.725339412,1.028870844,-0.691352791,-0.891673928,2.385540802,23.8
44,J.J. Redick,SG,PHI,73,27.5,-0.329442121,1.482711935,1.311428796,0.107874309,-1.278680121,-0.210096681,-1.014276931,-1.110354482,0.677253805,2.354895232,NA
45,Lauri Markkanen,PF,CHI,57,32,-0.510952932,0.998561099,1.657756823,0.79748176,1.01979881,-0.821287027,-1.014276931,-0.062850254,0.677253805,2.29548953,NA
46,Josh Richardson,PG/SG,MIA,72,32,-0.329442121,0.635447972,0.618772742,-0.207374812,-0.875438203,-0.108231624,1.028870844,0.565652283,0.285021872,2.252506993,19.8
