,PLAYER,POS,TEAM,GP,MPG,nFGp,nFTp,nX3PM,nPTS,nTREB,nAST,nSTL,nBLK,nTO
1,Anthony Davis,PF/C,NOR,72,36,0.941133553,0.635447972,-0.766539367,2.886007185,2.39082133,-0.210096681,1.320749097,3.708164968,-0.760929951
2,Stephen Curry,PG/SG,GSW,72,32,0.396601121,1.724787353,3.504839634,2.373727364,-0.230251135,1.623474355,1.904505604,-0.900853636,-1.545393817
3,James Harden,PG/SG,HOU,80,35.4,-0.329442121,0.87752339,2.696740904,3.102740956,0.172990783,2.896787574,1.904505604,-0.062850254,-3.898785418
4,Kevin Durant,SF/PF,GSW,67,34,0.759622743,1.361674226,1.426871472,2.117587453,0.535908509,1.114149067,-0.430520424,2.032158203,-1.41464984
5,Karl-Anthony Towns,C,MIN,80,36,1.304155175,0.87752339,0.041559363,1.999369033,2.834387439,-0.108231624,-0.13864217,1.613156511,-0.630185973
6,Giannis Antetokounmpo,SF/PF,MIL,78,36,0.941133553,0.030259427,-0.766539367,2.610164204,1.70531007,1.317879182,1.612627351,1.822657357,-1.676137795
7,Nikola Jokic,PF/C,DEN,75,33,0.759622743,0.998561099,0.157002039,1.191543161,2.350497138,1.674406884,0.73699259,0.565652283,-1.283905862
8,Kawhi Leonard,SG/SF,TOR,70,34,0.215090311,1.119598808,0.734215417,2.216102803,0.455260125,0.299228607,2.196383858,0.565652283,-0.499441995
9,LeBron James,SF/PF,LAL,75,36,0.941133553,-0.817004536,0.38788739,2.531351924,1.302068152,3.151450218,1.028870844,0.146650592,-3.245065529
10,Damian Lillard,PG,POR,74,36,-0.510952932,1.603749644,2.00408485,2.511648854,-0.35122371,1.725339412,0.153236083,-0.691352791,-1.283905862
11,Joel Embiid,PF/C,PHI,58,31,0.215090311,0.030259427,0.041559363,2.156993593,2.310172946,0.248296078,-0.430520424,2.870161585,-2.983577573
12,Chris Paul,PG,HOU,63,31.5,-0.147931311,1.603749644,1.19598612,0.71866948,0.011694016,2.387462286,2.196383858,-0.900853636,-0.630185973
13,Kyrie Irving,PG/SG,BOS,60,32,0.215090311,1.603749644,1.657756823,2.117587453,-0.754465628,1.216014125,0.153236083,-0.691352791,-0.760929951
14,Russell Westbrook,PG,OKC,80,35.2,-0.692463743,0.030259427,0.157002039,2.531351924,1.866606837,3.762640563,1.904505604,-0.691352791,-4.160273373
15,Paul George,SG/SF,OKC,77,35.5,-0.329442121,0.998561099,1.542314147,1.802338332,0.455260125,0.401093664,2.488262111,-0.481851945,-1.545393817
16,Jimmy Butler,SG/SF,MIN,67,36.5,0.0335795,0.756485681,-0.073883312,1.664416842,0.052018207,0.859486423,2.488262111,-0.272351099,-0.368698017
17,John Wall,PG,WAS,77,36,-0.510952932,0.272334845,-0.073883312,1.565901492,-0.512520477,3.457045391,2.780140364,0.565652283,-2.852833595
